2	0.9699	3	2.23947E-7	0.47643	5.5	3.1619E-11	2573.57054
1	0.9699	3	2.23947E-7	0.47643	6	3.1479E-11	2490.20924
7	0.8527	2.8	2.09017E-7	0.50682	3	3.18424E-11	2924.17202
6	0.8527	2.8	2.09017E-7	0.50682	3.5	3.18141E-11	4898.57182
5	0.8527	2.8	2.09017E-7	0.50682	4	3.17151E-11	4082.57434
4	0.8527	2.8	2.09017E-7	0.50682	4.5	3.15527E-11	5038.40945
3	0.8527	2.8	2.09017E-7	0.50682	5	3.15561E-11	5042.01349
2	0.8527	2.8	2.09017E-7	0.50682	5.5	3.13525E-11	6505.78304
1	0.8527	2.8	2.09017E-7	0.50682	6	3.13936E-11	4147.91501
5	1.3486	3.96	2.9561E-7	0.44849	4	3.23396E-11	1464.54777
4	1.3486	3.96	2.9561E-7	0.44849	4.5	3.23756E-11	1917.79091
3	1.3486	3.96	2.9561E-7	0.44849	5	3.22735E-11	1762.72192
2	1.3486	3.96	2.9561E-7	0.44849	5.5	3.21283E-11	2349.59503
1	1.3486	3.96	2.9561E-7	0.44849	6	3.18893E-11	2243.28126
5	0.8991	4	2.98596E-7	0.63599	4	3.20488E-11	3036.86433
4	0.8991	4	2.98596E-7	0.63599	4.5	3.18151E-11	1404.78476
3	0.8991	4	2.98596E-7	0.63599	5	3.1632E-11	1702.28971
2	0.8991	4	2.98596E-7	0.63599	5.5	3.15701E-11	1694.41922
1	0.8991	4	2.98596E-7	0.63599	6	3.11417E-11	1416.88779
5	1.1867	3.7	2.76201E-7	0.4806	4	3.20778E-11	1459.59494
4	1.1867	3.7	2.76201E-7	0.4806	4.5	3.21938E-11	2752.52258
3	1.1867	3.7	2.76201E-7	0.4806	5	3.22663E-11	3374.04745
2	1.1867	3.7	2.76201E-7	0.4806	5.5	3.21256E-11	3154.94661
1	1.1867	3.7	2.76201E-7	0.4806	6	3.17504E-11	3228.40932
5	1.3119	3.82	2.85159E-7	0.44384	4	3.23933E-11	540.18359
4	1.3119	3.82	2.85159E-7	0.44384	4.5	3.22033E-11	4374.66869
3	1.3119	3.82	2.85159E-7	0.44384	5	3.24612E-11	5565.428
2	1.3119	3.82	2.85159E-7	0.44384	5.5	3.21569E-11	4652.59215
1	1.3119	3.82	2.85159E-7	0.44384	6	3.21952E-11	3569.42744
3	1.7295	4.92	3.67273E-7	0.43073	5	3.24508E-11	1167.80857
2	1.7295	4.92	3.67273E-7	0.43073	5.5	3.23999E-11	1806.98327
1	1.7295	4.92	3.67273E-7	0.43073	6	3.23675E-11	2489.82743
3	1.1114	5	3.73245E-7	0.64003	5	3.17916E-11	1466.59853
2	1.1114	5	3.73245E-7	0.64003	5.5	3.16901E-11	1540.37039
1	1.1114	5	3.73245E-7	0.64003	6	3.13748E-11	1371.11122
3	1.603	4.7	3.5085E-7	0.44767	5	3.21997E-11	1527.73468
2	1.603	4.7	3.5085E-7	0.44767	5.5	3.24072E-11	1857.1201
1	1.603	4.7	3.5085E-7	0.44767	6	3.21807E-11	1805.16221
3	1.658	5.1	3.8071E-7	0.47352	5	3.25648E-11	599.83042
2	1.658	5.1	3.8071E-7	0.47352	5.5	3.25578E-11	3911.62412
1	1.658	5.1	3.8071E-7	0.47352	6	3.24202E-11	6532.21911
1	2.1102	6.08	4.53866E-7	0.43794	6	3.27568E-11	522.39783
1	1.3116	6	4.47894E-7	0.64599	6	3.16213E-11	1558.60323
1	1.675	5.3	3.95639E-7	0.48819	6	3.249E-11	7102.64666
1	1.9598	5.9	4.40429E-7	0.46207	6	3.25907E-11	1649.73035
